采购项目名称	预算金额	行政区域	网址
中国科学院海洋研究所船舶燃油定点供应商服务项目公开招标公告	￥0.000000万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181030_10994481.htm
晋江市渔业船舶安全生产风险分级管控社会化服务采购项目招标公告	￥40.000000万元（人民币）	晋江市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180929_10805745.htm
山东省泰安市东平县东平县东平湖移民管理局2018年大中型水库移民人口自然核减结余资金东平县城乡环卫一体化设备购置采购项目公开招标公告	详见公告正文	泰安市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181018_10916731.htm
乐山港航工程开发有限公司岷江300吨级自卸货船、铲斗式挖泥船采购项目(第三次）公开招标公告	￥800.000000万元（人民币）	四川省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181207_11293371.htm
黑龙江省黑河航道局船舶维修改造设备采购及安装项目招标公告	￥384.990000万元（人民币）	黑河市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181126_11188192.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181109_11078042.htm
交通运输部长江口航道管理局2018年航政船“航巡01”年检坞修项目公开招标公告	￥90.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201810/t20181029_10991772.htm
广州海洋地质调查局2019-2020年船舶出航及调查设备和出航人员保险采购公开招标公告	￥1600.000000万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181116_11125776.htm
忠县蓝天环境有限公司垃圾运载车辆及长江清漂保洁船(18A1276)采购公告	￥444.000000万元（人民币）	忠县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181225_11418785.htm
大连海事大学自动化码头实验平台采购公开招标公告	￥301.000000万元（人民币）	辽宁省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201809/t20180929_10804530.htm
教学考试设备皖C-2018-ZF-CG-Z-434-2、船舶实训设备皖C-2018-ZF-CG-Z-434-1招标公告	￥0.019752万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181018_10915620.htm
曹妃甸海事局海巡船艇船员服务外包采购公开招标公告	￥330.000000万元（人民币）	唐山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181206_11286004.htm
中国海警局东海分局筹备组2018年船舶柴油机备件采购项目公开招标公告	￥304.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181123_11181144.htm
